"","occupancy","extinction","colonization","synchrony","model"
"221",1,0,0,0,"Hanski"
"222",1,0,0,0,"Hanski"
"223",1,0,0,0,"Hanski"
"224",1,0,0,0,"Hanski"
"225",1,0,0,0,"Hanski"
"226",1,0,0,0,"Hanski"
"227",1,0,0,0,"Hanski"
"228",1,0,0,0,"Hanski"
"229",1,0,0,0,"Hanski"
"230",1,0,0,0,"Hanski"
"231",1,0,0,0,"Hanski"
"232",1,0,0,0,"Hanski"
"233",1,0,0,0,"Hanski"
"234",1,0,0,0,"Hanski"
"235",1,0,0,0,"Hanski"
"236",1,0,0,0,"Hanski"
"237",1,0,0,0,"Hanski"
"238",1,0,0,0,"Hanski"
"239",1,0,0,0,"Hanski"
"240",1,0,0,0,"Hanski"
"241",1,0,0,0,"Hanski"
"242",1,0,0,0,"Hanski"
"243",1,0,0,0,"Hanski"
"244",1,0,0,0,"Hanski"
"245",1,0,0,0,"Hanski"
"246",1,0,0,0,"Hanski"
"247",1,0,0,0,"Hanski"
"248",1,0,0,0,"Hanski"
"249",1,0,0,0,"Hanski"
"250",1,0,0,0,"Hanski"
"251",1,0,0,0,"Hanski"
"252",1,0,0,0,"Hanski"
"253",1,0,0,0,"Hanski"
"254",1,0,0,0,"Hanski"
"255",1,0,0,0,"Hanski"
"256",1,0,0,0,"Hanski"
"257",1,0,0,0,"Hanski"
"258",1,0,0,0,"Hanski"
"259",1,0,0,0,"Hanski"
"260",1,0,0,0,"Hanski"
"261",1,0,0,0,"Hanski"
"262",1,0,0,0,"Hanski"
"263",1,0,0,0,"Hanski"
"264",1,0,0,0,"Hanski"
"265",1,0,0,0,"Hanski"
"266",1,0,0,0,"Hanski"
"267",1,0,0,0,"Hanski"
"268",1,0,0,0,"Hanski"
"269",1,0,0,0,"Hanski"
"270",1,0,0,0,"Hanski"
"271",1,0,0,0,"Hanski"
"272",1,0,0,0,"Hanski"
"273",1,0,0,0,"Hanski"
"274",1,0,0,0,"Hanski"
"275",1,0,0,0,"Hanski"
"276",1,0,0,0,"Hanski"
"277",1,0,0,0,"Hanski"
"278",1,0,0,0,"Hanski"
"279",1,0,0,0,"Hanski"
"280",1,0,0,0,"Hanski"
"281",1,0,0,0,"Hanski"
"282",1,0,0,0,"Hanski"
"283",1,0,0,0,"Hanski"
"284",1,0,0,0,"Hanski"
"285",1,0,0,0,"Hanski"
"286",1,0,0,0,"Hanski"
"287",1,0,0,0,"Hanski"
"288",1,0,0,0,"Hanski"
"289",1,0,0,0,"Hanski"
"290",1,0,0,0,"Hanski"
"291",1,0,0,0,"Hanski"
"292",1,0,0,0,"Hanski"
"293",1,0,0,0,"Hanski"
"294",1,0,0,0,"Hanski"
"295",1,0,0,0,"Hanski"
"296",1,0,0,0,"Hanski"
"297",1,0,0,0,"Hanski"
"298",1,0,0,0,"Hanski"
"299",1,0,0,0,"Hanski"
"300",1,0,0,0,"Hanski"
"301",1,0,0,0,"Hanski"
"302",1,0,0,0,"Hanski"
"303",1,0,0,0,"Hanski"
"304",1,0,0,0,"Hanski"
"305",1,0,0,0,"Hanski"
"306",1,0,0,0,"Hanski"
"307",1,0,0,0,"Hanski"
"308",1,0,0,0,"Hanski"
"309",1,0,0,0,"Hanski"
"310",1,0,0,0,"Hanski"
"311",1,0,0,0,"Hanski"
"312",1,0,0,0,"Hanski"
"313",1,0,0,0,"Hanski"
"314",1,0,0,0,"Hanski"
"315",1,0,0,0,"Hanski"
"316",1,0,0,0,"Hanski"
"317",1,0,0,0,"Hanski"
"318",1,0,0,0,"Hanski"
"319",1,0,0,0,"Hanski"
"320",1,0,0,0,"Hanski"
"321",1,0,0,0,"Hanski"
"322",1,0,0,0,"Hanski"
"323",1,0,0,0,"Hanski"
"324",1,0,0,0,"Hanski"
"325",1,0,0,0,"Hanski"
"326",1,0,0,0,"Hanski"
"327",1,0,0,0,"Hanski"
"328",1,0,0,0,"Hanski"
"329",1,0,0,0,"Hanski"
"330",1,0,0,0,"Hanski"
"331",1,0,0,0,"Hanski"
"332",1,0,0,0,"Hanski"
"333",1,0,0,0,"Hanski"
"334",1,0,0,0,"Hanski"
"335",1,0,0,0,"Hanski"
"336",1,0,0,0,"Hanski"
"337",1,0,0,0,"Hanski"
"338",1,0,0,0,"Hanski"
"339",1,0,0,0,"Hanski"
"340",1,0,0,0,"Hanski"
"341",1,0,0,0,"Hanski"
"342",1,0,0,0,"Hanski"
"343",1,0,0,0,"Hanski"
"344",1,0,0,0,"Hanski"
"345",1,0,0,0,"Hanski"
"346",1,0,0,0,"Hanski"
"347",1,0,0,0,"Hanski"
"348",1,0,0,0,"Hanski"
"349",1,0,0,0,"Hanski"
"350",1,0,0,0,"Hanski"
"351",1,0,0,0,"Hanski"
"352",1,0,0,0,"Hanski"
"353",1,0,0,0,"Hanski"
"354",1,0,0,0,"Hanski"
"355",1,0,0,0,"Hanski"
"356",1,0,0,0,"Hanski"
"357",1,0,0,0,"Hanski"
"358",1,0,0,0,"Hanski"
"359",1,0,0,0,"Hanski"
"360",1,0,0,0,"Hanski"
"361",1,0,0,0,"Hanski"
"362",1,0,0,0,"Hanski"
"363",1,0,0,0,"Hanski"
"364",1,0,0,0,"Hanski"
"365",1,0,0,0,"Hanski"
"366",1,0,0,0,"Hanski"
"367",1,0,0,0,"Hanski"
"368",1,0,0,0,"Hanski"
"369",1,0,0,0,"Hanski"
"370",1,0,0,0,"Hanski"
"371",1,0,0,0,"Hanski"
"372",1,0,0,0,"Hanski"
"373",1,0,0,0,"Hanski"
"374",1,0,0,0,"Hanski"
"375",1,0,0,0,"Hanski"
"376",1,0,0,0,"Hanski"
"377",1,0,0,0,"Hanski"
